id,State,coefficient,hospital_number
,AL,0.501638234,93
,AK,0.095574571,12
,AZ,0.147231159,73
,AR,-0.209744918,50
,CA,-0.740206387,355
,CO,0.302261718,53
,CT,-,34
,DE,0.056434244,8
,DC,-0.841745546,8
,FL,0.779289931,213
,GA,-0.354642028,115
,HI,0.292340228,13
,ID,0.085995269,17
,IL,-0.115029373,143
,IN,0.39410825,97
,IA,-0.174842795,40
,KS,-0.091469859,61
,KY,-0.382085201,76
,LA,-0.379031693,112
,ME,-,22
,MD,-,51
,MA,-,81
,MI,-0.032357441,109
,MN,0.120925572,56
,MS,-0.480611135,73
,MO,0.139239285,89
,MT,0.034833145,15
,NE,0.284101496,31
,NV,0.127639633,28
,NH,-,14
,NJ,-,75
,NM,-0.012252257,40
,NY,-0.449351762,202
,NC,0.514758915,107
,ND,-0.021448277,11
,OH,0.164742665,152
,OK,-0.218638609,102
,OR,-0.437479818,38
,PA,0.141925301,183
,RI,-,12
,SC,0.266303396,66
,SD,0.103404887,28
,TN,-0.298391028,119
,TX,-0.166668539,383
,UT,0.267187418,37
,VT,-,7
,VA,0.677678993,92
,WA,-0.113776359,64
,WV,0.118649322,37
,WI,0.426042852,78
,WY,-0.522533458,13
