Zip,Provider Id,Hospital_Name,Address,lat,lng,Expenditures,OP_6,OP_7,SCIP_INF_3,SCIP_CARD_2,SCIP_VTE_2,SCIP_INF_9,PN_6,HF_1,HF_2,IMM_2,Don't recommend,Recommend,Might recommend,Low rating,Medium rating,High rating,Inc. Cat,Inc Cat,Cost category,Efficiency
11542,330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,40.8709034,-73.6224046,"$21,486",98,94,99,97,100,95,95,94,99,90,5,76,19,6,23,71,2,medium,medium,0.0045
19390,390220,JENNERSVILLE REGIONAL HOSPITAL,1015 WEST BALTIMORE PIKE,39.821909,-75.8868339,"$16,627",100,100,100,100,100,100,100,100,100,99,7,64,29,10,24,66,2,medium,low,0.006
46131,150001,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,39.4800962,-86.0777307,"$18,721",99,99,89,100,100,94,87,97,100,92,4,76,20,4,16,80,1,medium,low,0.0051
19973,80006,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,38.6414354,-75.604441,"$18,481",94,100,95,99,95,94,98,97,100,94,3,69,28,6,22,72,1,medium,low,0.0052
16701,390118,BRADFORD REGIONAL MEDICAL CENTER,116 INTERSTATE PARKWAY,41.9614369,-78.6593761,"$15,285",88,87,97,89,97,90,97,100,100,92,5,56,39,11,26,63,1,medium,low,0.0061
12010,330047,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,42.9546165,-74.2166549,"$17,010",100,99,99,100,100,100,98,94,100,86,5,70,25,9,24,67,1,medium,low,0.0057
94080,50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,37.6591974,-122.4393133,"$13,972",N/A,N/A,100,100,99,99,100,100,100,98,3,76,21,5,22,73,2,medium,low,0.0071
10708,330061,LAWRENCE HOSPITAL CENTER,55 PALMER AVENUE,40.9422535,-73.8370328,"$18,137",100,96,99,98,99,99,97,100,100,100,6,68,26,10,26,64,3,medium,low,0.0054
10701,330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,40.9296269,-73.8982968,"$17,076",98,93,93,94,97,89,100,98,100,98,14,51,35,22,28,50,1,medium,low,0.0056
10701,330208,ST JOHN'S RIVERSIDE HOSPITAL,976 NORTH BROADWAY,40.9693128,-73.8847273,"$17,928",99,95,99,98,97,100,92,99,100,99,4,72,24,9,23,68,1,medium,low,0.0055
94546,50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,37.6982669,-122.0901584,"$21,086",100,100,100,100,100,99,100,96,100,90,4,77,19,7,19,74,2,medium,medium,0.0047
40965,180020,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,3600 WEST CUMBERLAND AVENUE,36.6061614,-83.7402415,"$12,937",100,97,N/A,73,100,N/A,91,84,100,90,5,66,29,9,22,69,0,low,low,0.0071
40962,180043,MEMORIAL HOSPITAL,210 MARIE LANGDON DRIVE,,,"$14,760",N/A,N/A,N/A,N/A,100,N/A,96,100,99,100,5,66,29,11,21,68,0,medium,low,0.0067
23507,490007,SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM DR,36.8628009,-76.3035092,"$21,023",96,99,97,100,99,99,100,100,100,86,2,79,19,5,17,78,1,medium,medium,0.0046
23505,490011,BON SECOURS DEPAUL MEDICAL CENTER,150 KINGSLEY LANE,36.8993165,-76.281606,"$21,228",99,96,97,96,99,97,99,99,100,94,9,65,26,12,25,63,1,medium,medium,0.0046
23502,490046,SENTARA LEIGH HOSPITAL,830 KEMPSVILLE ROAD,,,"$19,067",99,97,99,100,100,100,99,100,100,95,4,78,18,6,19,75,1,medium,low,0.0052
27610,340069,"WAKEMED, RALEIGH CAMPUS",3000 NEW BERN AVE,35.7867248,-78.587848,"$21,110",98,97,99,99,100,100,98,99,100,91,2,81,17,5,22,73,1,medium,medium,0.0046
