Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,READM-30-AMI-HRRP,READM-30-COPD-HRRP,READM-30-HF-HRRP,READM-30-HIP-KNEE-HRRP,READM-30-PN-HRRP,Central line-associated blood stream infections (CLABSI),Catheter-Associated Urinary Tract Infections (CAUTI),Surgical Site Infection from colon surgery (SSI: Colon),Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),Payment for heart attack patients,SCIP-Inf-1_Achievement Points,SCIP-Inf-2_Achievement Points,SCIP-Inf-3_Achievement Points,SCIP-Inf-4_Achievement Points,SCIP-Inf-9_Achievement Points,Communication with Nurses Achievement Points,Communication with Doctors Achievement Points,Responsiveness of Hospital Staff Achievement Points,Pain Management Achievement Points,Communication about Medicines Achievement Points,Cleanliness and Quietness of Hospital Environment Achievement Points,Discharge Information Achievement Points,Overall Rating of Hospital Achievement Points,HF-1 Achievement Points,MORT-30-AMI Achievement Points,MORT-30-HF Achievement Points,MORT-30-PN Performance Rate,PN-3b Achievement Points,PN-6 Achievement Points,SCIP-Card-2 Achievement Points,SCIP-VTE-2 Achievement Points,Weighted Clinical Process of Care Domain Score,Weighted Patient Experience of Care Domain Score,Weighted Outcome Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Home Health Agency,Hospice,Inpatient,Outpatient,Skilled Nursing Facility,Durable Medical Equipment,Carrier,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Median
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,16.5,21.3,19.1,5.6,16.5,1.633,2.666,0.204,Not Available,0.972,0.535,21423,8 out of 10,6 out of 10,0 out of 10,2 out of 10,0 out of 10,0 out of 10,4 out of 10,0 out of 10,0 out of 10,1 out of 10,3 out of 10,2 out of 10,3 out of 10,3 out of 10,10 out of 10,0 out of 10,0.88443,6 out of 10,3 out of 10,6 out of 10,0 out of 10,11.6363636364,9.9,12.6,2,36.1363636364,$961 ,$155 ,"$2,928 ",$582 ,"$1,905 ",$124 ,$957 ,0.97,"38,008"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,19,19.6,20.4,7.2,17.1,0.000,0.285,0.671,Not Available,1.316,0.293,20614,4 out of 10,10 out of 10,10 out of 10,Not Available,8 out of 10,7 out of 10,10 out of 10,5 out of 10,7 out of 10,7 out of 10,4 out of 10,6 out of 10,5 out of 10,1 out of 10,Not Available,0 out of 10,0.88024,6 out of 10,3 out of 10,5 out of 10,4 out of 10,14.4444444444,21.3,18,6,59.7444444444,$818 ,$203 ,"$1,844 ",$586 ,"$3,648 ",$106 ,$693 ,0.98,"33,993"
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,13.6,17.3,18,4.1,15.2,0.430,0.493,1.220,Not Available,1.164,0.694,20297,6 out of 10,8 out of 10,5 out of 10,5 out of 10,5 out of 10,1 out of 10,2 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,6 out of 10,0 out of 10,0 out of 10,0.88844,5 out of 10,10 out of 10,6 out of 10,4 out of 10,12.3636363636,6.3,10.8,0,29.4636363636,$864 ,$138 ,"$2,328 ",$411 ,"$2,698 ",$108 ,$892 ,0.99,N/A
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Not Available,18.5,21.7,Not Available,14.7,Not Available,Not Available,Not Available,Not Available,Not Available,1.167,Not Available,10 out of 10,10 out of 10,10 out of 10,Not Available,10 out of 10,0 out of 10,10 out of 10,3 out of 10,0 out of 10,8 out of 10,6 out of 10,5 out of 10,2 out of 10,0 out of 10,Not Available,0 out of 10,0.88125,0 out of 10,0 out of 10,10 out of 10,10 out of 10,13.3333333333,17.1,15,0,45.4333333333,"$1,026 ",$80 ,$929 ,$326 ,"$4,248 ",$57 ,$620 ,1.02,"30,915"
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,Not Available,15.9,19.1,Not Available,13.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0 out of 10,10 out of 10,4 out of 10,4 out of 10,10 out of 10,1 out of 10,0 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,0.8883,0 out of 10,0 out of 10,Not Available,Not Available,Not Available,27,Not Available,16,43,$904 ,$123 ,$525 ,$333 ,"$4,459 ",$106 ,$589 ,0.98,"35,330"
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,15.6,18.9,19.3,5.4,16.1,0.967,0.734,0.336,0.617,3.100,1.206,21477,8 out of 10,8 out of 10,4 out of 10,0 out of 10,6 out of 10,0 out of 10,4 out of 10,0 out of 10,0 out of 10,1 out of 10,0 out of 10,3 out of 10,1 out of 10,10 out of 10,9 out of 10,0 out of 10,0.85741,10 out of 10,10 out of 10,7 out of 10,1 out of 10,13.4545454545,8.1,13.8,2,37.3545454545,$800 ,$137 ,"$2,456 ",$438 ,"$2,062 ",$113 ,$978 ,0.97,"54,491"
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,16.5,17.7,20.8,5.7,16.1,Not Available,0.000,Not Available,Not Available,0.547,0.772,19101,10 out of 10,10 out of 10,10 out of 10,Not Available,10 out of 10,4 out of 10,4 out of 10,3 out of 10,3 out of 10,4 out of 10,3 out of 10,8 out of 10,2 out of 10,10 out of 10,0 out of 10,2 out of 10,0.8135,0 out of 10,1 out of 10,10 out of 10,10 out of 10,15.7777777778,15.3,3.75,2,36.8277777778,$777 ,$169 ,"$2,353 ",$456 ,"$2,694 ",$94 ,$881 ,1.01,"38,899"
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,17.4,18.5,22.7,6.4,18.5,0.200,0.214,0.152,0.946,1.626,0.438,20919,7 out of 10,5 out of 10,5 out of 10,3 out of 10,8 out of 10,0 out of 10,2 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,4 out of 10,1 out of 10,8 out of 10,10 out of 10,0 out of 10,0.87876,8 out of 10,8 out of 10,6 out of 10,8 out of 10,13.2727272727,7.5,16.8,0,37.5727272727,"$1,061 ",$149 ,"$2,901 ",$397 ,"$2,320 ",$92 ,"$1,238 ",1.01,"66,251"
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,"12,468"
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,20.4,18.3,21.3,4.5,15.3,0.000,0.000,0.387,Not Available,0.996,0.144,20553,6 out of 10,10 out of 10,7 out of 10,Not Available,9 out of 10,3 out of 10,5 out of 10,3 out of 10,1 out of 10,1 out of 10,4 out of 10,3 out of 10,4 out of 10,0 out of 10,Not Available,0 out of 10,0.87129,10 out of 10,0 out of 10,0 out of 10,5 out of 10,10.4444444444,13.2,15,0,38.6444444444,$916 ,$167 ,"$2,855 ",$463 ,"$3,098 ",$90 ,"$1,121 ",1.06,"37,147"
