State,Median Income,Medicare spending per patient,Skilled Nursing Facility,Weighted Efficiency Domain Score,spending
AL,316.7319231,0.620447201,1.772550391,0.389450469,medium
AL,283.2735898,0.626843564,3.394364213,1.168351408,medium
AL,385.9680787,0.633239927,2.510415199,0,medium
AL,257.6235898,0.652429015,3.952647801,0,medium
AL,294.4152564,0.626843564,4.148977529,3.115603755,medium
AL,454.0902564,0.620447201,1.918634596,0.389450469,medium
AL,324.1569231,0.646032653,2.506693309,0.389450469,medium
AL,552.0902564,0.646032653,2.158696539,0,medium
AL,103.8985898,0.439177239,1.980251377,0.602647723,low
AL,309.5569231,0.678014467,2.882604258,0,medium
AL,335.9569231,0.614050838,2.665804131,1.168351408,medium
AL,320.5319231,0.614050838,1.798603625,2.434065434,medium
AL,365.2235898,0.652429015,2.195915445,0,medium
AL,499.6735898,0.652429015,2.281518928,0,medium
AL,316.0235898,0.569276298,1.594830116,2.336702817,medium
AL,305.5235898,0.556483572,1.785577008,4.868130868,medium
AL,103.8985898,0.614050838,1.092374887,0.778900939,medium
AL,343.3569231,0.588465387,2.584853011,1.46043926,medium
AL,343.7152564,0.620447201,3.369241452,0.389450469,medium
AL,311.4069231,0.575672661,2.370844302,1.947252347,medium
AL,209.4569231,0.626843564,2.063788329,0.389450469,medium
AL,505.7152564,0.652429015,2.657429877,0,medium
AL,305.7235898,0.665221741,1.9865591,0.389450469,medium
AL,295.7819231,0.518105395,1.54365412,4.381317781,low
AL,289.5069231,0.556483572,2.029360841,3.115603755,medium
AL,314.9569231,0.652429015,1.979115318,0,medium
AL,230.3902564,0.556483572,1.820004496,2.920878521,medium
AL,392.1402564,0.594861749,1.92700885,1.168351408,medium
AL,214.7735898,0.626843564,1.67392029,0.602647723,medium
AL,342.6819231,0.575672661,1.67392029,1.46043926,medium
AL,321.1485898,0.601258112,2.471335348,1.46043926,medium
AL,500.6235898,0.646032653,2.330833979,0,medium
AL,265.6985898,0.658825378,1.9865591,0,medium
AL,323.2152564,0.678014467,5.446056398,0.602647723,medium
AL,339.6402564,0.582069024,2.343860596,2.434065434,medium
AL,272.7235898,0.550087209,1.793020789,2.726153286,medium
AL,273.0652564,0.594861749,2.34199965,1.947252347,medium
AL,319.4235898,0.646032653,2.52809418,0,medium
AL,225.8819231,0.665221741,2.955181124,0,medium
AL,289.9819231,0.575672661,1.666476509,1.947252347,medium
AL,424.6152564,0.626843564,2.449004005,0,medium
AL,312.5319231,0.614050838,2.796070302,0.778900939,medium
AL,326.1735898,0.63963629,1.967019174,0,medium
AL,321.1485898,0.607654475,2.758851396,0.778900939,medium
AL,304.1902564,0.633239927,2.917962218,0.389450469,medium
AL,197.8902564,0.620447201,1.609717678,0.389450469,medium
AL,385.9680787,0.607654475,2.648125151,0.778900939,medium
AL,413.0652564,0.620447201,2.363400521,0.389450469,medium
AL,194.7402564,0.588465387,1.815352133,1.947252347,medium
AL,148.3819231,0.633239927,1.970741065,0,medium
AL,246.2069231,0.626843564,3.537657001,0.602647723,medium
AL,374.3985898,0.72918537,1.526905612,0,medium
AL,260.5319231,0.63963629,2.59136632,0,medium
AL,452.4652564,0.620447201,2.161487957,0.389450469,medium
AL,385.9680787,0.620447201,2.170792683,0,medium
AL,168.0152564,0.671618104,3.48834195,0.602647723,medium
AL,249.0985898,0.633239927,2.012612334,0,medium
AL,757.7985898,0.658825378,1.423623149,0,medium
AL,440.5235898,0.63963629,2.462961094,0.778900939,medium
AL,226.0319231,0.620447201,2.646264206,2.336702817,medium
AL,222.9069231,0.63963629,3.228740082,0.602647723,medium
AL,295.6652564,0.671618104,1.415248895,0,medium
AL,385.9680787,0.633239927,1.860945292,0,medium
AL,385.9680787,0.63963629,2.773738958,0.389450469,medium
AL,279.0652564,0.633239927,2.272214202,0,medium
AL,278.2402564,0.658825378,3.688393569,0,medium
AL,259.9819231,0.594861749,2.789556993,1.46043926,medium
AL,217.0652564,0.588465387,2.016334224,2.336702817,medium
AL,257.3319231,0.594861749,2.368052884,0.602647723,medium
AL,380.9652564,0.543690846,1.398500387,5.007220321,low
AL,359.5652564,0.582069024,1.922356487,2.726153286,medium
AL,505.7152564,0.633239927,2.255465694,0,medium
AL,178.7319231,0.633239927,2.284310346,0.602647723,medium
AL,448.2652564,0.652429015,1.537140811,0.389450469,medium
AL,413.0652564,0.63963629,2.346652014,0,medium
AL,313.6485898,0.68441083,2.704883982,0,medium
AL,224.8235898,0.562879935,1.783716063,3.894504694,medium
AL,557.6402564,0.63963629,1.021658965,0.389450469,medium
AL,265.4069231,0.614050838,2.666734604,1.112715627,medium
AL,394.0319231,0.678014467,2.07123211,0.778900939,medium
AL,258.4652564,0.594861749,1.869319546,1.168351408,medium
AL,277.8319231,0.620447201,2.705814455,0.389450469,medium
AL,332.2902564,0.601258112,1.2552076,1.66907344,medium
AL,277.1235898,0.575672661,1.936313577,1.947252347,medium
AL,351.7902564,0.439177239,1.980251377,0.602647723,low
AL,268.3985898,0.439177239,1.980251377,0.602647723,low
AL,282.4069231,0.439177239,1.980251377,0.602647723,low
AL,314.1735898,0.439177239,1.980251377,0.602647723,low
AK,474.0735898,0.569276298,0.441974507,2.336702817,medium
AK,610.2485898,0.511709032,0.289376993,3.894504694,low
AK,629.8069231,0.601258112,1.570637827,2.781789067,medium
AK,408.8152564,0.492519943,0.421504109,3.894504694,low
