high_Efficiency_Hospitals,highEffspending,medium_Efficiency_Hospitals,mediumEffspending,low_Efficiency_Hospitals,lowEffspending
0.779728682,18143,0.279728682,19338,1.379728682,22785
0.779728682,18143,-3.920271318,17448,1.379728682,22785
1.379728682,15842,2.479728682,19050,1.079728682,20886
1.379728682,15842,1.979728682,20286,-4.120271318,19092
1.279728682,17981,1.879728682,18891,1.079728682,20886
-4.820271318,13169,2.079728682,19668,-4.120271318,19092
-4.820271318,13169,0.979728682,20127,1.079728682,20886
-0.520271318,15517,1.179728682,18508,-4.120271318,19092
1.179728682,18242,0.179728682,19969,0.479728682,20895
0.979728682,13283,-1.020271318,18456,0.479728682,20895
-0.520271318,15789,-10.12027132,17763,-13.32027132,19716
-0.820271318,15584,-1.820271318,18526,-13.32027132,19716
2.879728682,18019,0.379728682,19740,0.279728682,25352
-1.020271318,17076,0.479728682,18653,-1.620271318,21776
0.779728682,17928,0.779728682,18690,1.579728682,20844
-1.020271318,17076,-2.820271318,17629,-1.720271318,19715
0.779728682,17928,2.379728682,19171,-0.420271318,21527
1.779728682,18137,-4.220271318,18672,-0.420271318,21527
-3.120271318,17416,-0.820271318,18968,-0.420271318,21527
-2.520271318,14156,1.479728682,19265,-4.320271318,20704
-3.120271318,17416,1.479728682,19265,0.979728682,20392
-2.520271318,14156,-0.520271318,19417,-1.820271318,20178
-3.120271318,17416,0.079728682,19778,0.979728682,20392
-2.520271318,14156,1.079728682,19454,-1.820271318,20178
-1.720271318,14336,1.079728682,19454,0.679728682,20633
-0.520271318,16883,-0.020271318,19445,-0.920271318,21486
-1.220271318,17537,1.779728682,18440,1.679728682,21054
1.679728682,16946,2.079728682,19842,-0.120271318,23093
-2.820271318,15441,2.379728682,19757,0.079728682,21163
0.079728682,17265,2.079728682,19842,0.479728682,20346
2.179728682,18060,2.379728682,19757,-1.920271318,19564
2.179728682,18060,-1.420271318,18017,0.979728682,20249
-5.920271318,13931,-0.220271318,19210,-7.420271318,18641
-2.320271318,16830,-0.320271318,18198,0.979728682,20672
0.579728682,17010,-0.320271318,18198,0.979728682,20672
-0.120271318,13653,-2.020271318,19035,-3.520271318,19557
-1.820271318,17638,-0.120271318,18428,-3.520271318,19557
1.079728682,14253,-0.520271318,19408,-3.420271318,19571
-1.820271318,17638,1.679728682,19065,-0.120271318,22576
1.079728682,14253,2.379728682,20135,-2.020271318,22358
-0.120271318,17880,1.779728682,18464,0.179728682,20125
1.279728682,17734,1.279728682,19562,-2.220271318,22684
1.279728682,17734,0.379728682,18280,-2.220271318,22684
-1.420271318,16009,-0.120271318,19113,0.979728682,24368
-1.420271318,16009,1.279728682,19878,2.579728682,23762
2.079728682,17122,1.279728682,19497,2.579728682,23762
0.379728682,17216,1.279728682,19497,1.679728682,20622
0.679728682,16417,-5.820271318,18153,2.479728682,21107
0.879728682,16897,1.279728682,18552,-0.420271318,22216
-4.820271318,13823,0.779728682,18771,-1.120271318,20136
